id,pollingfirm,year,month,day,party_a,party_b,party_c,party_d,party_e,party_f,party_i,party_k,party_o,party_p,party_v,party_oe,party_aa,n,source
259,Greens,2012,1,4,21.6,8.9,3.7,,,7.4,3.5,,10.8,,36.4,7.1,,1248,
260,Gallup,2012,1,5,23.1,9.7,2.6,,,6.9,4.5,,12.5,,32.1,7.8,,1598,
261,Rambøll,2012,1,8,21.8,9.3,3.7,,,6.9,4.5,,13.1,,33,7.5,,1000,
262,Epinion,2012,1,9,22,10.2,3.1,,,8.3,4.5,,11.8,,32.4,7.2,,1015,
263,YouGov,2012,1,10,21.8,9.3,3.7,,,6.9,4.5,0.3,13.1,,33,7.5,,,
264,Rambøll,2012,1,12,21.6,8.7,3.5,,,7.9,4.2,,11.9,,34.6,6.8,,1038,
265,Megafon,2012,1,26,22.6,8.8,4,,,7.4,4.9,,11.8,,32.8,7.3,,1000,
266,Greens,2012,2,1,21.7,10.4,4.2,,,6.8,5.1,,12.2,,32.2,6.7,,1126,
267,Voxmeter,2012,2,6,23.2,9.6,3.4,,,6.6,4.3,,11.7,,33.8,7.3,,1000,
268,Rambøll,2012,2,6,21.6,9.3,3.8,,,6.3,5,,13.6,,32.4,7.3,,1556,
269,YouGov,2012,2,8,21.6,9.3,3.8,,,6.3,5,0.7,13.6,,32.4,7.3,,,
270,Gallup,2012,2,9,23,9.4,4.1,,,6.9,4.9,,12.2,,32.2,6.8,,1539,
271,Rambøll,2012,2,9,21.3,10.2,3.4,,,8.5,4.5,,12,,33.1,6.3,,1050,
272,Epinion,2012,2,15,22.4,9.5,4.1,,,7.2,5.1,,12.2,,32.4,6.7,,1000,
273,Megafon,2012,2,22,20.2,10,3.2,,,8.1,4.6,,11.9,,34.3,7.2,,1008,
274,Voxmeter,2012,2,26,21.5,9.9,3.3,,,6.5,4.5,,11.9,,34.8,7.7,,1000,
275,Greens,2012,3,1,18.5,9.6,3.7,,,7.1,3.4,,12.8,,35.6,8.9,,1168,
276,Gallup,2012,3,8,23.1,8.8,3.3,,,6.6,4.6,,13.2,,31.8,7.7,,1551,
277,Rambøll,2012,3,9,21.5,10.8,3.6,,,6.1,4.1,,12.5,,34.2,6.6,,1000,
278,Rambøll,2012,3,11,20.7,9.9,3.4,,,6.2,5.5,,13.4,,33,7.4,,1558,
279,Voxmeter,2012,3,11,18.5,9,3.7,,,6.6,5.3,,13.5,,33.6,9.2,,1000,
280,YouGov,2012,3,14,20.7,9.9,3.4,,,6.2,5.5,0.5,13.4,,33,7.4,,,
281,Epinion,2012,3,21,20.6,9.4,3.5,,,7.9,4.4,,13.3,,32.1,8.4,,1008,
282,Voxmeter,2012,3,22,19.2,9.2,3,,,6.1,5.1,,13.6,,34.3,8.9,,1000,
283,Megafon,2012,3,29,19.8,9.3,3.4,,,5.9,6.5,,13.3,,32.2,9.2,,1000,
284,Rambøll,2012,3,30,21.2,10.2,4.5,,,7.4,3.8,,12.8,,31.7,7.8,,1000,
285,Gallup,2012,4,3,22.5,9.3,4.6,,,6.3,4.8,,12.1,,31.8,7.9,,1525,
286,Rambøll,2012,4,9,19.9,9.7,4.2,,,5.5,5.7,,12.6,,33.4,8.3,,2140,
287,Epinion,2012,4,11,20.8,9,3.3,,,6.6,4.7,,13.4,,33.4,7.8,,1003,
288,YouGov,2012,4,11,19.9,9.7,4.2,,,5.5,5.7,0.7,12.6,,33.4,8.3,,,
289,Megafon,2012,4,13,21.5,9.6,3.9,,,5.6,5.8,,12.6,,31.4,9.4,,1128,
290,Voxmeter,2012,4,15,20.5,10.1,3,,,6.5,4.4,,12.8,,33.9,7.9,,1000,
291,Megafon,2012,4,25,20.2,10.6,3.4,,,7.7,4.6,,12.7,,32.5,7.6,,1003,
292,Rambøll,2012,5,7,20.3,8.6,3.7,,,7,4.5,,12.3,,34,8.5,,1017,
293,YouGov,2012,5,9,19.8,9.2,3.5,,,6.3,6.1,0.4,13.9,,32.9,7.9,,,
294,Greens,2012,5,9,19.3,9.9,2.9,,,7.4,4.4,,12.9,,34,8.1,,1000,
295,Gallup,2012,5,10,21,8.5,3.9,,,7.5,5.3,,13.8,,29.9,8.8,,1517,
296,Voxmeter,2012,5,12,20.7,9.7,3.1,,,6.1,5,,13.6,,32.7,8.6,,1000,
297,Rambøll,2012,5,15,19.8,9.2,3.5,,,6.3,6.1,,13.9,,32.9,7.9,,1021,
298,Epinion,2012,5,25,20.5,8.6,3.9,,,6.2,5.5,,12.9,,32.9,8.7,,956,
299,Megafon,2012,5,31,16.9,9.2,3.5,,,5.7,5,,13.7,,34,11.3,,1118,
300,Voxmeter,2012,6,4,16.8,9.9,4.4,,,6.8,4.5,,13.2,,34,9.5,,1040,
301,Greens,2012,6,6,17.1,9.3,3.3,,,5.9,4.2,,12,,35,11.6,,1092,
302,Rambøll,2012,6,7,17.5,8.7,4.8,,,6.6,4.9,,12.6,,34.1,10,,1016,
303,Gallup,2012,6,7,18.5,9.2,4.4,,,7.4,3.6,,12.2,,33.1,10.9,,1495,
304,Rambøll,2012,6,10,17.7,9.8,3.6,,,5.8,5.1,,14.4,,33.7,9,,1542,
305,Epinion,2012,6,12,17.5,7.4,5,,,6.6,5,,13.3,,34,10.8,,1125,
306,YouGov,2012,6,13,17.7,9.8,3.6,,,5.8,5.1,0.8,14.4,,33.7,9,,,
307,Voxmeter,2012,6,17,17,8.6,4.4,,,6,4.8,,13.2,,35.4,9.8,,1037,
308,Voxmeter,2012,6,26,15.9,9.3,4.3,,,5.4,3.6,,13.3,,34.9,12.3,,1011,
309,Epinion,2012,6,26,16.3,8.3,4.5,,,5.8,4.1,,12.8,,33.6,13.6,,1020,
310,Megafon,2012,6,27,17.3,7.8,4.4,,,5.2,4.7,,12.4,,33.4,13.9,,1030,
311,Voxmeter,2012,6,29,19.2,8.9,4.1,,,6.9,4.4,,13.1,,32.7,9.9,,1127,
312,YouGov,2012,7,4,16.1,8.3,4.5,,,4.8,4.7,0.8,13.8,,33.5,13.6,,,
313,Gallup,2012,7,5,17.7,9.8,4.1,,,5.7,4.2,,14,,31.2,12.2,,1512,
314,Rambøll,2012,7,29,16.1,8.3,4.3,,,4.8,4.7,,13.8,,33.5,13.6,,1538,
315,Voxmeter,2012,8,5,18.2,9.8,4.3,,,6.4,4.5,,13.4,,32.5,10,,1025,
316,Greens,2012,8,8,19.5,9,4.4,,,6,5.3,,14.7,,32.1,8.2,,1102,
317,YouGov,2012,8,8,18.2,9.8,4.9,,,4.8,5.3,0.8,14.7,,31.7,9.8,,,
318,Gallup,2012,8,9,20.7,9.4,3.6,,,6.1,4.8,,12.4,,32.2,10,,1562,
319,Epinion,2012,8,9,17.4,9.2,4.1,,,6,3.7,,14.1,,34.4,10.5,,1034,
320,Megafon,2012,8,10,19.8,9.3,3.7,,,5.8,5.4,,13.9,,31.1,10.8,,1254,
321,YouGov,2012,8,13,19,9.8,4.3,,,5.9,6.1,0.3,14.7,,30,9.9,,,
322,Rambøll,2012,8,15,18.2,9.8,4.9,,,4.8,5.3,,14.7,,31.7,9.8,,2110,
323,Rambøll,2012,8,17,19,9,4.1,,,6.7,5.1,,13.9,,32.4,8.9,,929,
324,Voxmeter,2012,8,18,18.8,10.3,4.7,,,6.2,4.2,,13,,33,8.9,,1059,
325,Megafon,2012,8,29,19.3,8.5,4.7,,,6.5,4.3,,13.1,,33,9.4,,1012,
326,Voxmeter,2012,9,2,18.6,8.8,3.9,,,6.5,4.2,,13.8,,33.7,10.4,,1035,
327,Greens,2012,9,5,18.5,8.2,3.7,,,5.7,5.3,,13.8,,33.1,10.9,,1306,
328,Epinion,2012,9,5,19,7.5,3.5,,,5.7,4.9,,15.1,,33.5,9.9,,1031,
329,Voxmeter,2012,9,8,17.4,9.5,3.9,,,6,3.6,,13.2,,35.8,10,,1040,
330,Rambøll,2012,9,10,18.8,9.1,4.6,,,6,5.2,,14.1,,31.5,10.3,,2039,
331,YouGov,2012,9,12,18.8,9.1,4.6,,,6,5.2,0.4,14.1,,31.5,10.3,,,
332,Voxmeter,2012,9,15,19.3,9.2,3.8,,,6.4,4.5,,13,,34.6,8.7,,1043,
333,Rambøll,2012,9,17,19,9.2,4.1,,,6,4.2,,15.6,,32.2,9,,1526,
334,Megafon,2012,9,20,20.2,8.3,4.2,,,6.6,4.7,,14.5,,30.7,10,,1135,
335,Voxmeter,2012,9,26,18.8,7.8,4.3,,,7.1,5.4,,13.9,,32.9,9.3,,1051,
336,Gallup,2012,10,1,20,9,3.9,,,6.5,4.3,,13.4,,31.2,10.5,,1522,
337,Greens,2012,10,3,16.5,9.4,3.7,,,6.5,4.9,,15,,32.9,10.4,,1110,
338,Voxmeter,2012,10,7,18,7.9,4.8,,,6.7,4.4,,14.5,,33.4,9.9,,1038,
339,Rambøll,2012,10,8,19.6,9.5,3.1,,,4.5,5.4,,14.2,,33.1,10,,1523,
340,YouGov,2012,10,10,19.6,9.5,3.1,,,4.5,5.4,0.6,14.2,,33.1,10,,,
341,Rambøll,2012,10,11,20.7,8.7,3.2,,,6.5,4.1,,14.9,,33.1,8,,994,
342,Gallup,2012,10,11,21,9.3,4.6,,,5.2,3.1,,13.4,,31.7,11.1,,1586,
343,Voxmeter,2012,10,13,19.2,9.5,4.6,,,5.6,4.1,,13.8,,33.3,9,,1046,
344,Epinion,2012,10,20,19.9,7.8,4.2,,,6.8,5.1,,14.7,,31.6,9.1,,1153,
345,Voxmeter,2012,10,21,20.4,9.8,3.1,,,7.9,4.1,,14.5,,32,7.2,,1038,
346,Rambøll,2012,10,22,19.8,8.7,4.1,,,6.3,4.2,,15,,32.5,9,,1779,
347,YouGov,2012,10,24,19.8,8.7,4.1,,,6.3,4.2,0.6,15,,32.5,9,,,
348,Megafon,2012,10,24,20.4,9.4,4.1,,,5.8,5.1,,13.2,,31.8,9.4,,1003,
349,Voxmeter,2012,10,28,19.8,9.6,3.2,,,6.5,4.3,,14.3,,33.1,8.6,,1036,
350,Greens,2012,10,31,20.6,6.9,4.1,,,6.1,4.7,,14.7,,33.9,8.5,,1033,
351,Voxmeter,2012,11,4,18.6,9.6,2.8,,,6.1,3.6,,13.6,,35.5,9.5,,1046,
352,Rambøll,2012,11,5,19.3,10.1,3.7,,,5.8,4.6,,13.6,,33,9.4,,1470,
353,YouGov,2012,11,7,19.3,10.1,3.7,,,5.8,4.6,0.4,13.6,,33,9.4,,,
354,Gallup,2012,11,8,19.8,8.3,4.1,,,7.5,4.3,,15.6,,30.7,8.7,,1532,
355,Voxmeter,2012,11,11,18.7,8.7,2.7,,,7.6,4.6,,13.8,,34.4,7.9,,1047,
356,Rambøll,2012,11,15,20.1,9.1,4.3,,,7.1,4.6,,13.1,,31.6,9.2,,989,
357,Epinion,2012,11,16,19.1,8.1,4,,,7.5,4.8,,15.2,,32.3,8.4,,1034,
358,Voxmeter,2012,11,17,18.2,9.7,3.2,,,7.4,4.5,,13.5,,34.5,7.5,,1044,
359,Rambøll,2012,11,18,18.4,9.9,4,,,5.8,5.1,,14,,33.1,8.7,,1370,
360,YouGov,2012,11,21,18.4,9.9,4,,,5.8,5.1,0.8,14,,33.1,8.7,,,
361,Voxmeter,2012,11,25,18.8,9.6,3.7,,,7.1,4.3,,13.8,,34.4,7.5,,1100,
362,Megafon,2012,11,29,19.8,9.4,2.7,,,6.2,5.9,,14.3,,29.6,11.3,,1079,
363,Voxmeter,2012,12,2,19.9,8.8,4.1,,,6.2,4.4,,13.4,,33.1,9.3,,1000,
364,Rambøll,2012,12,3,18.5,9.5,4.3,,,5.2,4.9,,14.9,,30.5,11.7,,1443,
365,YouGov,2012,12,3,18.5,9.5,4.3,,,5.2,4.9,0.3,14.9,,30.5,11.7,,,
366,Greens,2012,12,5,19.6,8.8,2.8,,,6.1,5.5,,15.6,,31.5,9.5,,989,
367,Gallup,2012,12,6,23.1,8.7,3.2,,,6.4,4.2,,13.3,,32.1,8.5,,1515,
368,Voxmeter,2012,12,9,20.6,8.1,3.3,,,6.2,5.1,,14.3,,31.8,9.5,,1044,
369,Rambøll,2012,12,13,21.3,8.5,4,,,7.8,4.6,,12.6,,32.4,8.4,,1019,
370,Voxmeter,2012,12,15,20.2,8.8,3.7,,,6.2,4.2,,14.6,,32.5,8.6,,1040,
371,YouGov,2012,12,19,19,9.2,4.1,,,6,4.2,0.7,15.6,,32.2,9,,,
372,Megafon,2012,12,20,18.7,8.9,2.8,,,6.1,6.8,,14.8,,30.8,10.2,,1161,
373,Epinion,2012,12,21,19.4,7.1,3.7,,,6.5,4.4,,15.5,,32.8,10.1,,1000,
374,Voxmeter,2012,12,22,20.6,7.8,4.3,,,6.9,3.9,,14.1,,31.8,9.3,,1030,
375,Voxmeter,2013,1,6,22.6,8.5,3.2,,,6.4,3.7,,13.4,,31.9,9.7,,1030,
376,Greens,2013,1,6,18.5,8.9,3.5,,,5.5,4.9,,15.6,,33,9.9,,1007,
377,Gallup,2013,1,10,20.5,9.9,3.5,,,6.2,4.5,,14.5,,29.9,10.2,,1595,
378,Voxmeter,2013,1,13,20.4,8.2,3.1,,,6.2,4.7,,14.6,,33.2,8.6,,1028,
379,Rambøll,2013,1,14,18.1,9.2,4,,,6.4,5.1,,16.6,,30.2,9.6,,1480,
380,YouGov,2013,1,16,18.1,9.2,4,,,6.4,5.1,0.8,16.6,,30.2,9.6,,,
381,Rambøll,2013,1,17,19.5,9.1,4.3,,,7.3,4.5,,13.5,,32.4,8.6,,969,
382,Voxmeter,2013,1,20,18.6,8.6,3.3,,,5.9,4.7,,14.1,,33.8,10.2,,1033,
383,Epinion,2013,1,23,19.2,8.4,4.2,,,7.1,4.3,,15.1,,31.5,9.9,,1020,
384,Megafon,2013,1,24,19.2,9.3,4.2,,,7.4,4.7,,14.3,,31.7,8.2,,1007,
385,Greens,2013,1,27,19,8.7,4.6,,,5.3,5,,16.9,,28.6,10.6,,1001,
386,Voxmeter,2013,1,27,19.6,8.9,3.5,,,6.6,5.1,,13.3,,32.6,9.6,,1004,
387,Rambøll,2013,1,28,18.6,8.7,3.9,,,5.5,6,,16.6,,30.5,9.8,,1527,
388,YouGov,2013,1,30,18.8,8.7,3.9,,,5.5,6,0.4,16.6,,30.5,9.8,,,
389,Voxmeter,2013,2,3,19.9,8.5,3.8,,,6.6,5.1,,13.4,,33.1,8.8,,1044,
390,Gallup,2013,2,7,20.8,8.6,3.5,,,7.1,4.2,,15.2,,31.6,8.2,,1561,
391,Rambøll,2013,2,9,19.2,8,4,,,5.3,5.9,,16,,30.3,11.2,,1527,
392,Voxmeter,2013,2,10,19.6,9.3,3.8,,,6.7,4.1,,13.9,,33.5,8.2,,1035,
393,YouGov,2013,2,12,19.2,8,4,,,5.3,5.9,0.1,16,,30.3,11.2,,,
394,Epinion,2013,2,13,19.9,7.8,3.9,,,6.4,5.3,,15.7,,31.3,9.5,,1011,
395,Voxmeter,2013,2,17,19.7,8.6,3.5,,,5.5,5.1,,14.1,,33.2,9.5,,1034,
396,Rambøll,2013,2,21,23,9.1,3.3,,,7.3,4.1,,13.8,,30.8,8.2,,970,
397,Voxmeter,2013,2,24,20.5,7.7,3.9,,,5.5,5.6,,14.3,,32.1,10,,1075,
398,Rambøll,2013,2,25,17.2,8.6,4.2,,,5.2,5.1,,17.4,,31.8,10.3,,1539,
399,YouGov,2013,2,27,17.2,8.6,4.2,,,5.2,5.1,0.3,17.4,,31.8,10.3,,,
400,Greens,2013,2,27,17.2,8.7,4,,,6.1,6.2,,15.6,,30.3,11.1,,1001,
401,Megafon,2013,2,28,18.3,9,3.4,,,4.8,5.1,,15.9,,30,12.7,,1144,
402,Voxmeter,2013,3,3,19.3,8.3,3.6,,,4.6,5.3,,14.7,,33,10.5,,1031,
403,Gallup,2013,3,7,17.1,9.2,3.9,,,5.5,4.4,,15.5,,31,12.5,,1534,
404,Voxmeter,2013,3,10,18.1,8.8,3.8,,,4.6,4.7,,14.8,,33.1,11.4,,1032,
405,Rambøll,2013,3,10,16.5,7.8,3.8,,,3.8,5.1,,17.8,,32.6,12.1,,1570,
406,YouGov,2013,3,12,16.5,7.8,3.8,,,3.8,5.1,0.5,17.8,,32.6,12.1,,,
407,Epinion,2013,3,13,17.2,8.9,3.3,,,4.6,6.1,,17.3,,30,12,,1084,
408,Voxmeter,2013,3,17,17.9,8,3.3,,,4.6,4.9,,15.6,,32.8,12.1,,1033,
409,Rambøll,2013,3,21,21.6,8.4,2.9,,,4.5,4.6,,15.3,,31.1,11,,1027,
410,Megafon,2013,3,21,18,8.1,4,,,4.2,5.6,,17.1,,29.9,12.2,,1004,
411,YouGov,2013,3,24,15.7,9.4,3.2,,,3.9,5.4,0.4,18.2,,33.1,10.7,,,
412,Megafon,2013,3,26,18.4,8.8,4.2,,,4.1,4.9,,16.9,,31.1,11.1,,1004,
413,YouGov,2013,4,4,16.6,8.9,3.2,,,3.6,5.4,0.1,18.3,,31.8,12.1,,,
414,Voxmeter,2013,4,6,18.8,8.1,3.6,,,4.3,5.2,,15.9,,31.9,11.4,,1562,
415,Rambøll,2013,4,8,16.6,8.9,3.2,,,3.6,5.4,,18.3,,31.8,12.1,,1504,
416,Gallup,2013,4,11,18.2,7.8,3.8,,,5,4,,16,,30.8,13.3,,1534,
417,Voxmeter,2013,4,14,19.1,8.3,3.4,,,4.4,5.4,,15.2,,32.5,10.9,,1043,
418,Voxmeter,2013,4,15,17.9,8.6,3.7,,,3.7,4.6,,16.3,,32.2,12.2,,1028,
419,Rambøll,2013,4,18,15.6,9.1,4.2,,,4.3,4.9,,14.7,,33.5,12.8,,972,
420,YouGov,2013,4,21,14.4,7.7,4,,,3.7,5.2,0.6,18.1,,33.8,12.4,,,
421,Rambøll,2013,4,21,14.4,7.7,4,,,3.7,5.2,,18.1,,33.8,12.4,,1523,
422,Megafon,2013,4,25,17.8,7.5,4.4,,,2.8,5.2,,17.5,,31.3,13.2,,1123,
423,Epinion,2013,4,28,16.3,8.2,3.7,,,4.1,6.2,,15.7,,30.6,14.9,,1015,
424,Voxmeter,2013,4,28,16.3,7.8,3.9,,,3.9,4.4,,16.8,,33.3,12.5,,1547,
425,YouGov,2013,5,7,15.2,6.9,4.5,,,3.3,5.4,0.4,18.9,,31,14.5,,,
426,Gallup,2013,5,7,18.6,8.4,3.3,,,4.8,4.7,,17,,29.7,12.9,,1553,
427,Voxmeter,2013,5,12,16.9,7.9,4.3,,,4.4,4.8,,14.5,,33.9,12.7,,1029,
428,Rambøll,2013,5,13,15.2,6.9,4.5,,,3.3,5.4,,18.9,,31,14.5,,1544,
429,Rambøll,2013,5,16,17.9,8.1,4.9,,,4.4,4.4,,14.4,,32.4,12.2,,972,
430,Voxmeter,2013,5,19,17.1,8,4.5,,,4.8,5,,13.9,,33.3,12.8,,1033,
431,Rambøll,2013,5,21,17.4,8.9,3.9,,,3,5.1,,16.9,,31.3,12.9,,1002,
432,YouGov,2013,5,22,16.7,8.7,3.7,,,3,5.2,0.7,17.1,,31.7,13.1,,,
433,Voxmeter,2013,5,26,17.3,8.4,4.7,,,4.9,5.1,,14.3,,32.5,12.3,,1636,
434,Greens,2013,5,26,16.1,6.6,4.1,,,3.4,5.4,,16.2,,31.6,14.9,,1256,
435,Epinion,2013,5,27,16.5,8.2,4.6,,,4.7,6.3,,15.1,,29.7,14.6,,1067,
436,Megafon,2013,5,29,15.9,8.7,3.8,,,5.4,5.7,,14.7,,32.1,12.8,,1003,
437,Voxmeter,2013,6,3,17.7,8.9,4.1,,,5.2,5.2,,14.6,,31.6,11.8,,1038,
438,Rambøll,2013,6,3,15,8.2,3.9,,,3.7,6.6,,18.1,,30.6,13.6,,1528,
439,YouGov,2013,6,3,15,8.2,3.9,,,3.7,6.6,0.3,18.1,,30.6,13.6,,,
440,Greens,2013,6,5,16.3,7.9,4.7,,,4,5.2,,16.7,,31.3,13.1,,1178,
441,Voxmeter,2013,6,9,17.9,9.1,4,,,5.3,5.5,,14.5,,31.3,11.6,,1600,
442,Megafon,2013,6,13,18.1,8,5.1,,,4.2,5.6,,15.4,,29.3,13.3,,1170,
443,Epinion,2013,6,13,18.1,8.8,4.2,,,6,4.3,,14.6,,30.8,12.6,,1012,
444,Rambøll,2013,6,13,19.3,8.1,5.3,,,6.3,3.5,,15.7,,30.1,10.9,,980,
445,Voxmeter,2013,6,15,18.5,8.7,3.7,,,5.7,5.7,,14.2,,30.9,12.1,,1032,
446,Rambøll,2013,6,17,16,7.9,5.5,,,3.1,5.5,,17.7,,30.4,13.1,,1543,
447,YouGov,2013,6,18,16,7.9,5.5,,,3.1,5.5,0.8,17.7,,30.4,13.1,,,
448,Voxmeter,2013,6,23,18.9,8.6,3.6,,,5.9,5.8,,14.3,,30.5,11.8,,1546,
449,Greens,2013,6,27,17.6,8.5,4.9,,,3.8,5.8,,15.6,,30.8,12.5,,1058,
450,Voxmeter,2013,6,30,20.1,8.7,3.4,,,6.1,6,,13.6,,29.8,11.6,,1033,
451,Rambøll,2013,6,30,16.5,8.3,5.4,,,4.1,6.3,,19.9,,27,11.7,,1547,
452,Gallup,2013,7,1,20.6,8.8,3.4,,,5.2,4.7,,15.8,,29.6,11,,1525,
453,YouGov,2013,7,2,16.5,8.3,5.4,,,4.1,6.3,0.9,19.9,,27,11.7,,,
454,Gallup,2013,7,11,20.4,7.5,4.3,,,5.3,4.4,,16.7,,28.7,11.5,,1502,
455,Epinion,2013,7,17,18.4,8.7,3.9,,,4.2,5.1,,17.2,,30.1,12,,1076,
456,Greens,2013,8,1,17.2,8.3,3.8,,,6.1,6.8,,17.9,,28.1,10.9,,1191,
457,Gallup,2013,8,8,19.5,9.4,3.1,,,4.7,4.4,,17.5,,28.8,11.4,,1528,
458,Voxmeter,2013,8,8,23.3,7.9,4.7,,,5,5.2,,14.9,,27.5,10.9,,1035,
459,Voxmeter,2013,8,10,19.2,9.3,2.9,,,6.3,5.3,,15.6,,29.7,11.2,,1667,
460,Rambøll,2013,8,12,17.8,8,4.8,,,3.7,5.6,,20.2,,27.4,11.8,,1504,
461,YouGov,2013,8,13,17.8,8,4.8,,,3.7,5.6,0.7,20.2,,27.4,11.8,,,
462,Voxmeter,2013,8,18,19.4,9.2,3,,,6,6.1,,15.2,,29.5,11,,1458,
463,Epinion,2013,8,19,18.9,8.7,3.9,,,4.9,5.9,,17.8,,29.3,10.2,,1091,
464,Megafon,2013,8,22,18.9,8.4,4.6,,,4,6.5,,18.2,,27.8,11,,1170,
465,Voxmeter,2013,8,25,18.9,8.6,2.9,,,5.7,6.5,,16.5,,30.1,10.1,,1582,
466,Rambøll,2013,8,26,17.2,7.9,4.1,,,4.5,5.8,,21.2,,28.6,10.7,,1486,
467,YouGov,2013,8,28,17.2,7.9,4.1,,,4.5,5.8,0.2,21.2,,28.6,10.7,,,
468,Greens,2013,8,28,19.3,8.4,3.4,,,5.8,5.4,,17.5,,29.4,9.9,,1215,
469,Voxmeter,2013,9,1,18.3,8.3,2.7,,,6.3,7.1,,15.9,,30.4,10.2,,1243,
470,Gallup,2013,9,5,19.6,8.2,3.4,,,6,5.3,,16.8,,28.9,11.1,,1461,
471,Voxmeter,2013,9,8,20.8,7.9,3.1,,,5.5,6.6,,15.1,,30.6,9.8,,1032,
472,Rambøll,2013,9,9,16.8,7.8,3.5,,,4.7,6.4,,20.7,,29.6,9.8,,1742,
473,YouGov,2013,9,10,16.8,7.8,3.5,,,4.7,6.4,0.9,20.7,,29.6,9.8,,,
474,Voxmeter,2013,9,15,21.4,7.4,3.3,,,4.9,5.8,,15.6,,31.4,9.5,,1550,
475,Rambøll,2013,9,15,20,6.8,4.9,,,3.8,5.6,,21.8,,26.2,10.5,,1518,
476,Rambøll,2013,9,18,19.3,8.1,4.5,,,3.5,5.9,,20,,26.5,11.4,,1494,
477,Rambøll,2013,9,19,17.5,9.7,3.8,,,4.9,4.6,,20.2,,28.7,9.9,,961,
478,Voxmeter,2013,9,22,20.9,7.2,3.8,,,4.5,5.3,,16.9,,30.6,10.2,,1045,
479,Rambøll,2013,9,23,16,7.3,4.2,,,3.4,6.3,,23.5,,27.9,10.6,,1542,
480,YouGov,2013,9,24,16,7.3,4.2,,,3.4,6.3,0.8,23.5,,27.9,10.6,,,
481,Megafon,2013,9,25,18.7,9.3,3.7,,,6.3,4.5,,17.5,,29.6,8.9,,1017,
482,Epinion,2013,9,26,19.4,7,3.2,,,5.1,4.8,,19.7,,28.4,11.9,,1071,
483,Rambøll,2013,9,29,20.6,7.6,4.4,,,3.5,5.3,,20.3,,26.5,10.8,,1489,
484,Greens,2013,9,29,17.2,8.5,2.7,,,4.4,6.1,,20.1,,30,10.2,,1192,
485,Voxmeter,2013,10,6,21.1,8.1,2.9,,,5.5,4.7,,16.9,,30.1,10.1,,1037,
486,Rambøll,2013,10,7,18.4,8.1,3.5,,,4.1,4.6,,22.1,,27.2,11.3,,1529,
487,YouGov,2013,10,9,18.4,8.1,3.5,,,4.1,4.6,0.6,22.1,,27.2,11.3,,,
488,Gallup,2013,10,10,20.2,7.7,4.1,,,6,5.4,,18.1,,27,10.5,,1530,
489,Rambøll,2013,10,10,24.2,6.7,4.5,,,5.6,4.5,,17.6,,26.7,9.1,,964,
490,Voxmeter,2013,10,13,22.5,8.5,2.7,,,5.8,5.2,,16.5,,28.4,9.7,,1027,
491,Megafon,2013,10,14,19.2,8.8,4.8,,,5.6,5.8,,19.1,,26.3,9.9,,1155,
492,Voxmeter,2013,10,20,22.5,8.6,3.2,,,6.2,5.5,,16.9,,26.1,10.4,,1074,
493,Megafon,2013,10,21,20.8,7.8,4.5,,,5.4,5.6,,19.5,,25.2,10.8,,1277,
494,Rambøll,2013,10,21,18.8,8,3.5,,,4,6.9,,22.3,,24.7,11.4,,1516,
495,YouGov,2013,10,22,18.8,8,3.5,,,4,6.9,0.6,22.3,,24.7,11.4,,,
496,Megafon,2013,10,24,21.7,8.4,4.1,,,4.5,6.2,,18.9,,25.5,9.7,,1105,
497,Epinion,2013,10,24,21.6,8.2,3.3,,,5.2,5.6,,19.7,,26.4,9.3,,984,
498,Greens,2013,10,25,21.7,6.3,4.6,,,5.3,5.5,,17.3,,27.8,10.1,,1196,
499,Voxmeter,2013,10,27,22.7,8.1,3.3,,,6.3,5.9,,16.1,,27.3,9.8,,1039,
500,YouGov,2013,11,5,20,6.8,4.9,,,3.8,5.6,0.2,21.8,,26.2,10.5,,,
501,Gallup,2013,11,8,21.6,8.2,4.6,,,6,5,,17.6,,24.7,11.4,,1531,
502,Wilke,2013,11,10,22.4,7.5,4.7,,,6.1,6.1,,16.4,,25.2,10.9,,1156,
503,Voxmeter,2013,11,10,23.4,8,3.6,,,7.1,5.4,,15.5,,25.5,11.2,,1025,
504,Voxmeter,2013,11,17,24.6,8.1,3.7,,,6.5,5.6,,15.6,,24.3,11.3,,1020,
505,YouGov,2013,11,19,19.3,8.1,4.5,,,3.5,5.9,0.8,20,,26.5,11.4,,,
506,Megafon,2013,11,20,22.2,7.6,3.9,,,5.5,4.6,,15.9,,29.3,10.2,,1022,
507,Voxmeter,2013,11,24,24.7,7.5,3.9,,,6,5.7,,15.3,,24.9,11.5,,1621,
508,Voxmeter,2013,11,25,24.1,8.1,4.4,,,5.1,5.9,,15.8,,25.8,10.2,,1025,
509,Greens,2013,11,28,23.1,7.9,4.5,,,4,5.1,,16.6,,26.3,11.1,,1190,
510,Voxmeter,2013,11,28,22.9,7.2,3.1,,,6.9,5.2,,15.2,,28.6,10.4,,1051,
511,YouGov,2013,12,2,20.6,7.6,4.4,,,3.5,5.3,0.9,20.3,,26.5,10.8,,,
512,Wilke,2013,12,8,21,8,5,,,4.9,5.8,,17.4,,26,11.2,,1242,
513,Greens,2013,12,10,22.1,8,4,,,5.1,5.4,,15.6,,27.2,11.3,,1180,
